Hour,Solar Power Output (kWh)
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.0
1352,0.0
1353,1356.917
1354,2792.844
1355,4826.881
1356,5697.494
1357,5426.203
1358,7693.903
1359,7209.903
1360,4452.951
1361,2491.05
1362,993.574
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,0.0
1374,0.0
1375,0.0
1376,0.0
1377,653.306
1378,3532.143
1379,6082.55
1380,7811.774
1381,7567.569
1382,4534.752
1383,5509.623
1384,3385.54
1385,4341.788
1386,388.822
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,0.0
1399,0.0
1400,0.0
1401,1360.021
1402,3346.733
1403,5490.915
1404,6431.922
1405,7218.784
1406,5605.729
1407,7048.725
1408,3950.727
1409,2347.315
1410,1081.374
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.0
1424,0.0
1425,716.333
1426,1799.407
1427,3374.557
1428,5028.58
1429,5345.824
1430,5355.928
1431,4860.029
1432,4266.522
1433,2919.675
1434,1218.53
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.0
1447,0.0
1448,0.0
1449,0.0
1450,34.396
1451,2085.498
1452,1480.348
1453,3668.035
1454,3974.96
1455,4779.341
1456,4452.007
1457,3107.065
1458,1337.981
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,0.0
1472,0.0
1473,761.321
1474,1774.103
1475,2118.896
1476,2997.953
1477,5019.948
1478,5179.92
1479,5182.243
1480,4525.067
1481,3157.02
1482,1384.208
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,0.0
1495,0.0
1496,0.0
1497,291.964
1498,691.357
1499,1858.815
1500,3038.079
1501,4828.248
1502,3252.35
1503,3718.798
1504,4088.982
1505,2648.213
1506,1116.033
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,249.231
1522,636.06
1523,2070.918
1524,1748.102
1525,1804.494
1526,142.128
1527,582.81
1528,179.293
1529,109.48
1530,17.915
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,65.607
1546,193.943
1547,350.233
1548,1135.115
1549,1292.975
1550,1243.322
1551,1471.088
1552,590.104
1553,18.519
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,597.724
1570,1428.34
1571,754.73
1572,306.228
1573,812.186
1574,888.11
1575,805.11
1576,3090.946
1577,3155.237
1578,1400.693
1579,16.981
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,9.048
1593,788.831
1594,1750.314
1595,3553.167
1596,1135.898
1597,1380.647
1598,3812.111
1599,2429.621
1600,1950.587
1601,1654.565
1602,731.574
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,73.767
1617,1734.554
1618,3527.677
1619,4682.775
1620,4810.207
1621,6266.611
1622,6547.177
1623,4710.693
1624,4208.265
1625,3110.664
1626,1467.8
1627,38.021
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,34.503
1641,904.92
1642,1867.385
1643,3067.759
1644,4993.504
1645,6143.972
1646,6320.374
1647,5782.831
1648,4580.435
1649,3226.867
1650,1495.14
1651,48.695
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,5.396
1665,435.404
1666,894.105
1667,2378.703
1668,4332.107
1669,4222.091
1670,5831.9
1671,5847.33
1672,4486.375
1673,3070.885
1674,1461.391
1675,57.949
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,57.496
1689,888.982
1690,1740.105
1691,4097.171
1692,5278.285
1693,4510.701
1694,4516.67
1695,5451.092
1696,4635.937
1697,3612.612
1698,1749.841
1699,83.564
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,192.361
1713,2020.134
1714,3900.409
1715,5275.185
1716,6213.468
1717,6684.339
1718,6633.311
1719,6096.814
1720,5092.523
1721,3679.215
1722,1782.653
1723,102.46
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,81.598
1737,895.81
1738,2966.755
1739,4417.201
1740,5060.087
1741,5902.645
1742,6032.765
1743,5994.201
1744,4976.467
1745,3526.998
1746,1707.01
1747,106.346
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,273.862
1761,2015.555
1762,3787.596
1763,5166.767
1764,6058.621
1765,6526.398
1766,6471.121
1767,5943.68
1768,4992.942
1769,3568.337
1770,1771.536
1771,130.484
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,160.007
1785,1038.505
1786,2160.172
1787,3959.052
1788,5157.541
1789,5785.55
1790,5922.152
1791,5726.721
1792,4791.998
1793,3498.82
1794,1731.178
1795,133.345
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,278.43
1809,1614.102
1810,2843.111
1811,4085.37
1812,3981.545
1813,2677.819
1814,2443.119
1815,1259.512
1816,1764.819
1817,986.445
1818,452.231
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,13.139
1833,273.851
1834,151.243
1835,1247.152
1836,1398.58
1837,908.881
1838,1237.599
1839,1132.693
1840,913.997
1841,331.558
1842,151.376
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,130.265
1857,717.138
1858,1465.472
1859,1582.131
1860,4384.157
1861,3652.49
1862,4495.608
1863,3975.88
1864,2393.734
1865,1760.345
1866,826.575
1867,60.725
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,373.898
1881,1720.567
1882,1721.735
1883,4513.276
1884,6026.31
1885,6466.929
1886,6418.333
1887,5901.622
1888,4955.883
1889,3599.629
1890,1841.805
1891,226.642
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,317.157
1905,1355.669
1906,2966.922
1907,5087.594
1908,5837.368
1909,6888.055
1910,6829.119
1911,6281.444
1912,5279.794
1913,3843.911
1914,1992.315
1915,272.342
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,563.073
1929,2328.84
1930,4083.097
1931,5370.23
1932,6226.513
1933,6677.063
1934,6607.938
1935,6114.511
1936,5120.344
1937,3742.118
1938,1942.173
1939,294.801
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,206.233
1953,793.62
1954,1570.772
1955,3230.668
1956,956.525
1957,1154.714
1958,1244.077
1959,3135.067
1960,1332.408
1961,1664.014
1962,823.216
1963,98.184
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,185.233
1977,764.338
1978,1673.163
1979,4268.964
1980,4788.776
1981,3849.589
1982,2345.092
1983,2396.47
1984,1030.663
1985,1533.763
1986,828.614
1987,147.755
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,651.663
2001,2398.202
2002,4082.807
2003,5345.254
2004,5790.512
2005,6656.254
2006,6565.281
2007,5995.503
2008,5045.564
2009,3715.07
2010,1961.355
2011,350.46
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,167.101
2025,608.089
2026,872.301
2027,2402.045
2028,1415.766
2029,1786.772
2030,1032.229
2031,1035.715
2032,2035.05
2033,1005.72
2034,516.964
2035,65.896
2036,0.0
2037,0.0
2038,0.0
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,530.311
2049,1827.542
