Month,Day,Hour,Solar Energy (kWh),Wind Energy (kWh),Grid Energy (kWh),Total Cost ($)
1.0,15.0,6.0,0.0,100.0,0.0,5200.0
1.0,15.0,7.0,0.0,100.0,0.0,5200.0
1.0,15.0,8.0,76.408,23.592,0.0,5047.184
1.0,15.0,9.0,100.0,0.0,0.0,5000.0
1.0,15.0,10.0,100.0,0.0,0.0,5000.0
1.0,15.0,11.0,100.0,0.0,0.0,5000.0
1.0,15.0,12.0,100.0,0.0,0.0,5000.0
1.0,15.0,13.0,100.0,0.0,0.0,5000.0
1.0,15.0,14.0,100.0,0.0,0.0,5000.0
1.0,15.0,15.0,100.0,0.0,0.0,5000.0
1.0,15.0,16.0,100.0,0.0,0.0,5000.0
1.0,15.0,17.0,29.694,70.306,0.0,5140.612
1.0,15.0,18.0,0.0,100.0,0.0,5200.0
1.0,15.0,19.0,0.0,100.0,0.0,5200.0
1.0,15.0,20.0,0.0,100.0,0.0,5200.0
1.0,15.0,21.0,0.0,100.0,0.0,5200.0
1.0,15.0,22.0,0.0,100.0,0.0,5200.0
1.0,15.0,23.0,0.0,100.0,0.0,5200.0
1.0,16.0,0.0,0.0,100.0,0.0,5200.0
1.0,16.0,1.0,0.0,100.0,0.0,5200.0
1.0,16.0,2.0,0.0,100.0,0.0,5200.0
1.0,16.0,3.0,0.0,100.0,0.0,5200.0
1.0,16.0,4.0,0.0,100.0,0.0,5200.0
1.0,16.0,5.0,0.0,100.0,0.0,5200.0
1.0,16.0,6.0,0.0,100.0,0.0,5200.0
1.0,16.0,7.0,0.0,100.0,0.0,5200.0
1.0,16.0,8.0,96.745,3.2549999999999955,0.0,5006.51
1.0,16.0,9.0,100.0,0.0,0.0,5000.0
1.0,16.0,10.0,100.0,0.0,0.0,5000.0
1.0,16.0,11.0,100.0,0.0,0.0,5000.0
1.0,16.0,12.0,100.0,0.0,0.0,5000.0
1.0,16.0,13.0,100.0,0.0,0.0,5000.0
1.0,16.0,14.0,100.0,0.0,0.0,5000.0
1.0,16.0,15.0,100.0,0.0,0.0,5000.0
1.0,16.0,16.0,100.0,0.0,0.0,5000.0
1.0,16.0,17.0,47.625,52.375,0.0,5104.75
1.0,16.0,18.0,0.0,100.0,0.0,5200.0
1.0,16.0,19.0,0.0,100.0,0.0,5200.0
1.0,16.0,20.0,0.0,100.0,0.0,5200.0
1.0,16.0,21.0,0.0,100.0,0.0,5200.0
1.0,16.0,22.0,0.0,100.0,0.0,5200.0
1.0,16.0,23.0,0.0,100.0,0.0,5200.0
1.0,17.0,0.0,0.0,100.0,0.0,5200.0
1.0,17.0,1.0,0.0,100.0,0.0,5200.0
1.0,17.0,2.0,0.0,100.0,0.0,5200.0
1.0,17.0,3.0,0.0,100.0,0.0,5200.0
1.0,17.0,4.0,0.0,100.0,0.0,5200.0
1.0,17.0,5.0,0.0,100.0,0.0,5200.0
1.0,17.0,6.0,0.0,100.0,0.0,5200.0
1.0,17.0,7.0,0.0,100.0,0.0,5200.0
1.0,17.0,8.0,35.984,64.01599999999999,0.0,5128.031999999999
1.0,17.0,9.0,100.0,0.0,0.0,5000.0
1.0,17.0,10.0,100.0,0.0,0.0,5000.0
1.0,17.0,11.0,100.0,0.0,0.0,5000.0
1.0,17.0,12.0,100.0,0.0,0.0,5000.0
1.0,17.0,13.0,100.0,0.0,0.0,5000.0
1.0,17.0,14.0,100.0,0.0,0.0,5000.0
1.0,17.0,15.0,100.0,0.0,0.0,5000.0
1.0,17.0,16.0,100.0,0.0,0.0,5000.0
1.0,17.0,17.0,2.934,97.066,0.0,5194.132
1.0,17.0,18.0,0.0,100.0,0.0,5200.0
1.0,17.0,19.0,0.0,100.0,0.0,5200.0
1.0,17.0,20.0,0.0,100.0,0.0,5200.0
1.0,17.0,21.0,0.0,100.0,0.0,5200.0
1.0,17.0,22.0,0.0,100.0,0.0,5200.0
1.0,17.0,23.0,0.0,100.0,0.0,5200.0
1.0,18.0,0.0,0.0,100.0,0.0,5200.0
1.0,18.0,1.0,0.0,100.0,0.0,5200.0
1.0,18.0,2.0,0.0,100.0,0.0,5200.0
1.0,18.0,3.0,0.0,100.0,0.0,5200.0
1.0,18.0,4.0,0.0,100.0,0.0,5200.0
1.0,18.0,5.0,0.0,100.0,0.0,5200.0
1.0,18.0,6.0,0.0,100.0,0.0,5200.0
1.0,18.0,7.0,0.0,100.0,0.0,5200.0
1.0,18.0,8.0,100.0,0.0,0.0,5000.0
1.0,18.0,9.0,100.0,0.0,0.0,5000.0
1.0,18.0,10.0,100.0,0.0,0.0,5000.0
1.0,18.0,11.0,100.0,0.0,0.0,5000.0
1.0,18.0,12.0,100.0,0.0,0.0,5000.0
1.0,18.0,13.0,100.0,0.0,0.0,5000.0
1.0,18.0,14.0,100.0,0.0,0.0,5000.0
1.0,18.0,15.0,100.0,0.0,0.0,5000.0
1.0,18.0,16.0,100.0,0.0,0.0,5000.0
1.0,18.0,17.0,100.0,0.0,0.0,5000.0
1.0,18.0,18.0,0.0,100.0,0.0,5200.0
1.0,18.0,19.0,0.0,100.0,0.0,5200.0
1.0,18.0,20.0,0.0,100.0,0.0,5200.0
1.0,18.0,21.0,0.0,100.0,0.0,5200.0
1.0,18.0,22.0,0.0,100.0,0.0,5200.0
1.0,18.0,23.0,0.0,100.0,0.0,5200.0
1.0,19.0,0.0,0.0,100.0,0.0,5200.0
1.0,19.0,1.0,0.0,100.0,0.0,5200.0
1.0,19.0,2.0,0.0,100.0,0.0,5200.0
1.0,19.0,3.0,0.0,100.0,0.0,5200.0
1.0,19.0,4.0,0.0,100.0,0.0,5200.0
1.0,19.0,5.0,0.0,100.0,0.0,5200.0
1.0,19.0,6.0,0.0,100.0,0.0,5200.0
1.0,19.0,7.0,0.0,100.0,0.0,5200.0
1.0,19.0,8.0,80.482,19.518,0.0,5039.036
1.0,19.0,9.0,100.0,0.0,0.0,5000.0
1.0,19.0,10.0,100.0,0.0,0.0,5000.0
1.0,19.0,11.0,100.0,0.0,0.0,5000.0
1.0,19.0,12.0,100.0,0.0,0.0,5000.0
1.0,19.0,13.0,100.0,0.0,0.0,5000.0
1.0,19.0,14.0,100.0,0.0,0.0,5000.0
1.0,19.0,15.0,100.0,0.0,0.0,5000.0
